Effort,Atraso(ns),Freq(GHz),Slack,Instances,Area,Potencia
low,4,0.25,3122,256,739.746,0.20311
low,2,0.5,1122,257,739.404,0.405605
low,1.333,0.75,455,257,739.404,0.60831
low,1,1,172,262,746.586,0.857822
low,0.8,1.25,119,317,793.44,1.14808
low,0.667,1.5,80,357,839.952,1.42451
low,0.571,1.75,44,357,853.974,1.67544
low,0.5,2,26,361,875.52,1.93496
low,0.4,2.5,6,457,1035.234,2.77408
low,0.333,3,12,489,1264.374,3.60489
low,0.286,3.5,-14,561,1558.152,4.69961
low,0.25,4,-52,577,1605.348,5.48154
medium,4,0.25,3126,198,671.004,0.206239
medium,2,0.5,1131,197,671.004,0.412181
medium,1.333,0.75,488,196,689.13,0.639961
medium,1,1,183,200,680.238,0.864229
medium,0.8,1.25,2,228,702.468,1.12188
medium,0.667,1.5,1,249,726.066,1.37337
medium,0.571,1.75,3,284,757.188,1.66673
medium,0.5,2,2,288,769.842,1.941
medium,0.4,2.5,0,335,845.082,2.51815
medium,0.333,3,0,391,1007.874,3.58547
medium,0.286,3.5,-7,496,1563.624,5.03671
medium,0.25,4,-41,513,1608.426,5.79614
high,4,0.25,3116,200,695.628,0.201355
high,2,0.5,1201,198,696.312,0.424484
high,1.333,0.75,571,212,701.1,0.608546
high,1,1,115,206,702.126,0.962037
high,0.8,1.25,23,244,731.538,1.25976
high,0.667,1.5,1,269,756.504,1.57953
high,0.571,1.75,3,271,764.028,1.85134
high,0.5,2,2,299,787.284,2.17622
high,0.4,2.5,0,333,836.532,2.51777
high,0.333,3,0,390,1006.848,3.57624
high,0.286,3.5,0,502,1609.452,5.07883
high,0.25,4,-34,568,1802.34,6.30011
